Name,Age,Marks
Student91,25,99
Student23,23,99
Student143,19,99
Student78,23,98
Student133,22,98
Student44,25,98
Student120,25,98
Student11,19,97
Student199,24,97
Student41,22,96
Student162,18,96
Student60,19,96
Student52,23,96
Student136,20,96
Student128,24,96
Student144,19,95
Student61,23,95
Student173,21,95
Student193,20,95
Student81,20,94
Student27,18,93
Student119,23,93
Student42,24,93
Student49,21,92
Student164,18,92
Student125,20,92
Student180,18,92
Student156,21,92
Student184,18,92
Student130,24,92
Student2,20,92
Student66,23,92
Student121,18,92
Student45,19,92
Student35,21,91
Student12,23,91
Student101,21,91
Student200,21,91
Student15,18,90
Student106,23,89
Student138,23,89
Student89,23,89
Student33,20,89
Student196,22,88
Student154,25,88
Student124,22,88
Student145,20,87
Student171,24,87
Student160,21,87
Student116,22,87
Student103,22,87
Student114,23,87
Student84,18,87
Student14,21,86
Student188,24,86
Student58,24,86
Student147,20,86
Student192,23,85
Student100,23,85
Student1,22,85
Student31,21,85
Student140,21,84
Student191,25,84
Student185,19,84
Student85,25,84
Student26,24,83
Student39,18,83
Student99,23,83
Student142,23,83
Student69,18,83
Student9,25,83
Student7,20,82
Student25,21,81
Student110,22,81
Student20,24,81
Student57,19,80
Student179,22,80
Student170,23,80
Student6,21,80
Student19,21,80
Student71,22,80
Student13,20,80
Student112,18,79
Student16,24,79
Student68,21,79
Student79,22,79
Student54,18,79
Student4,19,78
Student21,19,78
Student62,22,78
Student59,24,78
Student65,20,78
Student98,20,77
Student55,22,77
Student127,20,77
Student64,19,77
Student86,22,76
Student129,22,76
Student182,18,76
Student40,22,76
Student38,21,76
Student75,18,76
Student148,20,75
Student168,25,75
Student5,23,75
Student111,18,75
Student96,21,75
Student107,21,75
Student43,20,74
Student176,24,74
Student141,23,74
Student115,23,73
Student189,19,73
Student132,23,73
Student37,25,73
Student172,20,73
Student82,18,73
Student131,25,73
Student183,20,73
Student56,21,72
Student169,20,72
Student198,25,72
Student53,25,71
Student10,20,71
Student126,23,70
Student47,19,70
Student102,21,70
Student146,21,70
Student181,19,70
Student90,20,70
Student94,19,70
Student150,22,69
Student95,21,69
Student88,25,69
Student123,22,68
Student157,19,68
Student117,21,68
Student122,25,65
Student93,23,65
Student165,23,65
Student48,25,65
Student105,21,65
Student28,25,64
Student83,22,64
Student17,24,64
Student67,25,64
Student187,20,64
Student118,20,63
Student194,23,63
Student30,21,63
Student104,22,62
Student51,19,62
Student50,18,61
Student166,24,61
Student29,19,61
Student46,23,61
Student63,20,61
Student149,23,60
Student32,19,60
Student158,19,60
Student92,20,60
Student24,21,59
Student151,23,59
Student137,21,59
Student34,18,59
Student36,21,59
Student178,24,59
Student134,22,58
Student109,22,58
Student135,24,58
Student97,19,58
Student18,19,57
Student155,22,57
Student190,23,57
Student76,18,57
Student163,21,57
Student74,19,56
Student77,19,55
Student159,23,55
Student161,25,55
Student8,25,54
Student177,18,54
Student73,21,54
Student197,18,54
Student70,21,53
Student174,19,53
Student139,25,53
Student167,18,52
Student80,19,52
Student113,25,52
Student186,20,51
Student22,22,51
Student175,24,51
Student87,20,51
Student72,23,51
Student3,22,51
Student152,23,51
Student108,20,50
Student153,19,50
Student195,21,50
