사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2021010100100182,2021년 1월,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,이륜,남,21-30세,경상
2021011900100002,2021년 1월,화요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,원동기,남,31-40세,중상
2021012400100002,2021년 1월,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,31-40세,경상
2021012500100123,2021년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,차로위반,건조,맑음,단일로 - 기타,화물,남,31-40세,상해없음,승용,남,21-30세,경상
2021013000100534,2021년 1월,토요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,남,21-30세,중상
2021022200100344,2021년 2월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,31-40세,경상
2021022300100103,2021년 2월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,21-30세,상해없음,승용,남,31-40세,경상
2021022300100248,2021년 2월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,여,41-50세,경상
2021032300100412,2021년 3월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,여,41-50세,경상
2021040800100364,2021년 4월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,51-60세,경상
