사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2021012300100026,2021년 1월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,남,21-30세,경상
2021012900100456,2021년 1월,금요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,21-30세,상해없음,승합,남,41-50세,상해없음
2021013000100012,2021년 1월,토요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,기타,맑음,기타 - 기타,승용,남,65세 이상,상해없음,보행자,남,51-60세,경상
2021013000100551,2021년 1월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,기타,맑음,기타 - 기타,승용,남,65세 이상,상해없음,승용,남,31-40세,경상
2021022500100044,2021년 2월,목요일,서울특별시 광진구 군자동,경상사고,0,0,3,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,41-50세,경상,화물,남,51-60세,경상
2021032200100069,2021년 3월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,65세 이상,경상
2021032800100122,2021년 3월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,31-40세,경상
2021033100100346,2021년 3월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,20세 이하,경상,승용,남,51-60세,상해없음
2021041000100002,2021년 4월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로부근,원동기,남,51-60세,경상,승용,남,51-60세,상해없음
2021041500100516,2021년 4월,목요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,31-40세,상해없음,이륜,남,31-40세,중상
2021050400100462,2021년 5월,화요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,남,41-50세,상해없음,이륜,남,13-20세,경상
2021060100100566,2021년 6월,화요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,65세 이상,상해없음,보행자,남,21-30세,경상
2021062200100003,2021년 6월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,4,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,경상,승용,남,51-60세,경상
2021062900100470,2021년 6월,화요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,21-30세,중상
2021070400100453,2021년 7월,일요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,여,61-64세,경상,이륜,남,21-30세,상해없음
2021071700100102,2021년 7월,토요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승합,남,51-60세,상해없음,이륜,남,41-50세,중상
2021071700100131,2021년 7월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,여,41-50세,경상
2021071700100214,2021년 7월,토요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,이륜,남,21-30세,경상
2021090900100556,2021년 9월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,승용,여,21-30세,경상
2021091000100583,2021년 9월,금요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,31-40세,경상
2021091200100432,2021년 9월,일요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,21-30세,경상
2021092500100292,2021년 9월,토요일,서울특별시 광진구 군자동,중상사고,0,2,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,승합,남,51-60세,상해없음
2021100100100382,2021년 10월,금요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,65세 이상,상해없음,원동기,남,41-50세,경상
2021100800100455,2021년 10월,금요일,서울특별시 광진구 군자동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,기타,교차로 - 교차로안,승용,여,65세 이상,상해없음,승용,남,51-60세,경상
2021101500100398,2021년 10월,금요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,여,41-50세,경상
2021111200100070,2021년 11월,금요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,이륜,남,31-40세,중상
2021111800100384,2021년 11월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,3,0,차대차 - 충돌,안전운전불이행,건조,맑음,기타 - 기타,화물,남,61-64세,상해없음,승용,남,13-20세,경상
2021112200100350,2021년 11월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,이륜,남,21-30세,경상
2021112500100308,2021년 11월,목요일,서울특별시 광진구 중곡동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,21-30세,중상
