사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2022011100100191,2022년 1월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,이륜,남,21-30세,경상
2022021400100265,2022년 2월,월요일,서울특별시 광진구 중곡동,중상사고,0,1,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,41-50세,경상,승용,남,65세 이상,중상
2022021600100273,2022년 2월,수요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,남,41-50세,중상
2022022700100098,2022년 2월,일요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,65세 이상,경상,승용,여,65세 이상,상해없음
2022031900100199,2022년 3월,토요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,원동기,남,65세 이상,상해없음,승용,남,31-40세,경상
2022032500100384,2022년 3월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 충돌,안전거리미확보,젖음/습기,비,기타 - 기타,승용,남,65세 이상,기타불명,승용,남,21-30세,경상
2022051700100219,2022년 5월,화요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,31-40세,상해없음,승용,남,65세 이상,경상
2022052600100080,2022년 5월,목요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21-30세,상해없음,보행자,남,31-40세,중상
2022052600100304,2022년 5월,목요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 차도통행중,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,보행자,여,61-64세,경상
2022060200100137,2022년 6월,목요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,승용,남,65세 이상,경상
2022061700100001,2022년 6월,금요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,이륜,남,21-30세,경상
2022062900100114,2022년 6월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,원동기,여,21-30세,경상,승용,남,65세 이상,상해없음
2022082200100199,2022년 8월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,원동기,남,21-30세,경상
2022083000100350,2022년 8월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,61-64세,상해없음,승용,여,51-60세,경상
2022092700100283,2022년 9월,화요일,서울특별시 광진구 중곡동,사망사고,1,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,여,51-60세,사망,승용,남,51-60세,경상
2022101900100204,2022년 10월,수요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세 이상,경상,승용,남,31-40세,경상
2022111500100106,2022년 11월,화요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,31-40세,상해없음,승용,여,31-40세,경상
2022111600100021,2022년 11월,수요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,65세 이상,상해없음,보행자,남,21-30세,중상
2022121700100202,2022년 12월,토요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,원동기,남,51-60세,중상,,,,
2022121700100312,2022년 12월,토요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,원동기,남,61-64세,부상신고
2022123100100139,2022년 12월,토요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,여,21-30세,경상
