사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도,년도,월,특정장소
2020010100100332,2020년 1월,수요일,서울특별시 광진구 구의동,중상사고,0,2,6,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,65세 이상,경상,2020년,1월,미상
2020010200100441,2020년 1월,목요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,부상신고,2020년,1월,미상
2020010300100519,2020년 1월,금요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,여,65세 이상,중상,2020년,1월,미상
2020010400100306,2020년 1월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,61-64세,경상,자전거,여,13-20세,상해없음,2020년,1월,미상
2020010400100346,2020년 1월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,65세 이상,상해없음,이륜,남,21-30세,경상,2020년,1월,미상
2020010400100382,2020년 1월,토요일,서울특별시 광진구 광장동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,이륜,남,41-50세,부상신고,승용,여,41-50세,상해없음,2020년,1월,미상
2020010500100053,2020년 1월,일요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,65세 이상,경상,2020년,1월,미상
2020010600100292,2020년 1월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,기타,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,41-50세,경상,2020년,1월,미상
2020010600100420,2020년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,51-60세,기타불명,승용,남,31-40세,경상,2020년,1월,미상
2020010700100001,2020년 1월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,1,차대차 - 충돌,중앙선침범,젖음/습기,비,단일로 - 고가도로위,승용,남,65세 이상,상해없음,승용,남,65세 이상,부상신고,2020년,1월,미상
2020010700100529,2020년 1월,화요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 기타,기타,젖음/습기,맑음,교차로 - 교차로안,승용,남,65세 이상,경상,이륜,남,51-60세,경상,2020년,1월,건대입구
2020010800100282,2020년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상,2020년,1월,미상
2020010900100280,2020년 1월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,이륜,여,21-30세,경상,2020년,1월,미상
2020010900100314,2020년 1월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,승용,남,31-40세,경상,2020년,1월,미상
2020011000100008,2020년 1월,금요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,이륜,남,31-40세,경상,2020년,1월,미상
2020011000100128,2020년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,여,41-50세,경상,2020년,1월,미상
2020011000100569,2020년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,기타불명,승용,여,31-40세,경상,2020년,1월,미상
2020011100100239,2020년 1월,토요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,21-30세,경상,2020년,1월,미상
2020011100100240,2020년 1월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,단일로 - 기타,이륜,남,21-30세,상해없음,승용,남,31-40세,경상,2020년,1월,미상
2020011200100228,2020년 1월,일요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,65세 이상,중상,2020년,1월,미상
2020011300100147,2020년 1월,월요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 충돌,기타,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,이륜,남,31-40세,중상,2020년,1월,미상
2020011300100180,2020년 1월,월요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,원동기,남,21-30세,중상,2020년,1월,미상
2020011300100532,2020년 1월,월요일,서울특별시 성동구 성수동2가,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,이륜,남,21-30세,중상,2020년,1월,미상
2020011400100016,2020년 1월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,51-60세,경상,2020년,1월,미상
2020011400100035,2020년 1월,화요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,자전거,남,20세 이하,상해없음,승용,남,61-64세,상해없음,2020년,1월,미상
2020011500100492,2020년 1월,수요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,21-30세,부상신고,승용,남,61-64세,상해없음,2020년,1월,미상
2020011500100572,2020년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,21-30세,상해없음,2020년,1월,건대입구
2020011700100468,2020년 1월,금요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,61-64세,상해없음,보행자,남,41-50세,중상,2020년,1월,미상
