id,name,year,km_driven,Region,State or Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,selling_price
0,Maruti,2017.0,47000.0,Central,Illinois,Chicago,Petrol,Individual,Manual,First_Owner,20.51,998.0,67.04,90Nm@ 3500rpm,5.0,Y,0.409999
1,Toyota,2016.0,55000.0,East,Maryland,Odenton,Diesel,Individual,Automatic,First_Owner,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7.0,N,1.575
2,Mahindra,2015.0,40000.0,West,New Mexico,Las Cruces,Diesel,Individual,Automatic,First_Owner,18.49,0.0925025470041823,100.0,230Nm@ 1500-2250rpm,7.0,N,0.7
3,Maruti,2012.0,70000.0,South,Louisiana,Terrytown,Petrol,Individual,Manual,Second_Owner,19.7,796.0,46.3,62Nm@ 3000rpm,5.0,N,0.18
4,Hyundai,2015.0,35000.0,East,Pennsylvania,Baldwin,Petrol,,Manual,Second_Owner,17.7,1497.0,113.42,144.15nm@ 4500rpm,0.8608744234617293,N,0.54
5,Maruti,2015.0,90000.0,Central,Minnesota,Coon Rapids,Petrol,Individual,Manual,First_Owner,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0,N,0.6
6,Skoda,2012.0,80000.0,West,California,,Diesel,Individual,Manual,Second_Owner,20.5,1598.0,103.5,250Nm@ 1500-2500rpm,5.0,N,0.29
7,Hyundai,2017.0,8000.0,East,Pennsylvania,Scranton,Petrol,Individual,Manual,First_Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,N,0.3
8,Maruti,2017.0,40000.0,East,New Jersey,Hackensack,Petrol,Individual,Manual,First_Owner,17.5,1373.0,91.1,130Nm@ 4000rpm,7.0,N,0.765
9,Maruti,2016.0,47370.0,Central,Texas,Sulphur Springs,CNG,Individual,Manual,First_Owner,21.94,1196.0,63.0,83Nm@ 3000rpm,5.0,N,0.33
10,Toyota,2016.0,140000.0,East,New York,New York City,Diesel,Individual,Manual,First_Owner,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8.0,Y,1.2
11,Honda,2019.0,7032.0,West,Montana,Kalispell,Petrol,,Automatic,First_Owner,19.0,1199.0,88.76,110Nm@ 4800rpm,5.0,Y,0.779
12,Maruti,2009.0,60000.0,Central,Texas,Cedar Hill,Petrol,Individual,Manual,Third_Owner,18.9,1061.0,67.0,84Nm@ 3500rpm,5.0,Y,0.114999
13,Tata,2020.0,5000.0,Central,Illinois,Naperville,Petrol,Individual,Automatic,First_Owner,17.0,1198.0,108.5,170Nm@ 1750-4000rpm,5.0,N,0.95
14,Hyundai,2014.0,90000.0,,Virginia,Fairfax,Petrol,Individual,Manual,First_Owner,21.1,814.0,55.2,74.5Nm@ 4000rpm,5.0,N,0.28
15,Maruti,0.9781028169264128,123000.0,West,Washington,Seattle,Petrol,Individual,Manual,Third_Owner,17.5,1298.0,85.8,114Nm@ 4000rpm,5.0,Y,0.16
16,Honda,2019.0,7032.0,South,Georgia,Dunwoody,Petrol,Trustmark_Dealer,Automatic,First_Owner,19.0,1199.0,88.76,110Nm@ 4800rpm,5.0,N,0.779
17,Ford,2010.0,124316.0,East,Ohio,Reynoldsburg,Diesel,Dealer,Manual,Second_Owner,20.0,1399.0,68.0,160Nm@ 2000rpm,5.0,N,0.185
18,Volkswagen,2019.0,20000.0,South,Louisiana,0.0022154520927418764,Petrol,Individual,Manual,First_Owner,19.44,999.0,75.0,95Nm@ 3000-4300rpm,5.0,N,0.5
19,,2018.0,80000.0,West,California,Temecula,Diesel,Individual,Manual,First_Owner,26.1,1498.0,99.23,215Nm@ 1750-3000rpm,5.0,N,0.53
20,Maruti,2015.0,50000.0,Central,Kansas,Hays,Petrol,Individual,Manual,First_Owner,22.74,796.0,47.3,69Nm@ 3500rpm,5.0,N,0.3
21,Maruti,2013.0,15000.0,South,Kentucky,Pleasure Ridge Park,Petrol,Individual,Manual,First_Owner,18.6,1197.0,85.8,114Nm@ 4000rpm,5.0,N,0.35
22,,2017.0,45000.0,Central,Minnesota,Roseville,Diesel,Dealer,Automatic,First_Owner,19.33,1999.0,177.0,430Nm@ 1750-2500rpm,5.0,N,3.2
23,Maruti,2019.0,10000.0,East,Massachusetts,,Petrol,Individual,Manual,First_Owner,21.01,1197.0,81.8,113Nm@ 4200rpm,5.0,N,0.556
24,Hyundai,2017.0,20000.0,South,Virginia,Winchester,Petrol,Individual,Manual,First_Owner,17.0,1591.0,121.3,151Nm@ 4850rpm,5.0,N,0.9
25,Tata,2015.0,60000.0,Central,Michigan,Sterling Heights,Diesel,Individual,Manual,Second_Owner,13.49,2179.0,138.03,320Nm@ 1750-2700rpm,5.0,N,0.6
26,Hyundai,2008.0,110000.0,Central,Michigan,Madison Heights,Petrol,Individual,Manual,Fourth_Above_Owner,19.81,1086.0,,99.04Nm@ 4500rpm,5.0,N,0.185
27,Mahindra,2007.0,152000.0,South,Arkansas,Springdale,Diesel,Individual,Manual,Fourth_Above_Owner,10.5,2609.0,120.0,290Nm@ 1800-2800rpm,9.0,N,0.2
28,Mahindra,2015.0,80000.0,West,Colorado,Denver,Diesel,Individual,Manual,First_Owner,15.4,2523.0,75.0,200Nm@ 1400-2200rpm,9.0,N,0.72
29,Ford,,135000.0,West,California,Santa Cruz,Diesel,Individual,Manual,First_Owner,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5.0,N,0.6
30,Maruti,2017.0,60000.0,West,Colorado,Lakewood,CNG,Individual,Manual,First_Owner,26.6,998.0,58.16,77Nm@ 3500rpm,5.0,N,0.42
